IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,8-K,https://www.sec.gov/Archives/edgar/data/1057217/0000927016-03-000316.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,497,https://www.sec.gov/Archives/edgar/data/914036/0000950131-02-005035.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,497,https://www.sec.gov/Archives/edgar/data/914036/0000950131-02-005035.txt
IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
