IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
67.122.35.000,AT&T Internet Services,California,Corona,United States,11-K,https://www.sec.gov/Archives/edgar/data/96763/9999999997-02-035510.txt
63.71.67.000,Sara Lee Corporation,,,United States,NO ACT,https://www.sec.gov/Archives/edgar/data/1080839/9999999997-02-042852.txt
162.66.50.000,UBS AG,,,United States,S-8,https://www.sec.gov/Archives/edgar/data/1136725/0001136725-02-000019.txt
162.66.50.000,UBS AG,,,United States,S-8,https://www.sec.gov/Archives/edgar/data/1013243/0000950144-02-006029.txt
162.66.50.000,UBS AG,,,United States,S-8,https://www.sec.gov/Archives/edgar/data/1800/0000912057-02-000904.txt
IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
