IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
64.12.97.000,AOL Inc.,,,United States,,
64.233.241.000,WideOpenWest Michigan,Michigan,Troy,United States,8-K,https://www.sec.gov/Archives/edgar/data/1003464/0000950149-03-000551.txt
129.22.7.000,Case Western Reserve University,Ohio,Cleveland,United States,424B4,https://www.sec.gov/Archives/edgar/data/1021772/0000931763-97-001219.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000787.txt
196.12.37.000,Software Technology Park of India [STPI] Hyderabad,Andhra Pradesh,Hyderabad,India,485APOS,https://www.sec.gov/Archives/edgar/data/751199/0000751199-02-000006.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000724.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000692.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000662.txt
195.166.226.000,,,,,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000439.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000532.txt
195.166.226.000,,,,,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000438.txt
195.166.226.000,,,,,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1070235/0001067484-03-000088.txt
195.166.226.000,,,,,SC 13G,https://www.sec.gov/Archives/edgar/data/1070235/0000932471-03-000148.txt
195.166.226.000,,,,,SC 13G,https://www.sec.gov/Archives/edgar/data/1070235/0000922423-03-000137.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000324.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000274.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000238.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000296.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000222.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000188.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000204.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000138.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-03-000152.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-02-002658.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-02-002814.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-02-002513.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-02-002639.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-02-002365.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-02-002442.txt
195.166.226.000,,,,,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1070235/0000912057-02-041572.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-02-002356.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-055146.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/0000950172-02-002343.txt
195.166.226.000,,,,,S-8,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-055123.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-054375.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-052197.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-052131.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-047562.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-046317.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-046774.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-045950.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-045065.txt
195.166.226.000,,,,,40-F,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-041861.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-040286.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-034672.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-031241.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-039812.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-028173.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-022135.txt
195.166.226.000,,,,,S-8,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-019186.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-018555.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-012262.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-012263.txt
195.166.226.000,,,,,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1070235/0000766524-02-000169.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-011109.txt
195.166.226.000,,,,,SC 13G,https://www.sec.gov/Archives/edgar/data/1070235/0000869906-02-000141.txt
195.166.226.000,,,,,SC 13G,https://www.sec.gov/Archives/edgar/data/1070235/0000922423-02-000194.txt
195.166.226.000,,,,,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-010013.txt
195.166.226.000,,,,,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-010088.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-007654.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-008110.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-005585.txt
195.166.226.000,,,,,6-K,https://www.sec.gov/Archives/edgar/data/1070235/9999999997-02-007067.txt
