IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
206.215.236.000,Level 3 Communications Inc.,,,United States,10-Q,https://www.sec.gov/Archives/edgar/data/104348/0000104348-94-000004.txt
66.45.102.000,Authoria Inc.,British Columbia,Surrey,Canada,10-K405,https://www.sec.gov/Archives/edgar/data/40730/0000950124-95-000665.txt
66.31.44.000,Comcast Cable Communications LLC,Massachusetts,Cambridge,United States,,https://www.sec.gov/Archives/edgar/data/714278/0000950131-95-000844.txt
199.43.32.000,Bank of America,Florida,Fleming Island,United States,8-K,https://www.sec.gov/Archives/edgar/data/51734/0000902664-94-000002.txt
199.43.32.000,Bank of America,Florida,Fleming Island,United States,8-K,https://www.sec.gov/Archives/edgar/data/51734/0000902664-94-000001.txt
199.43.32.000,Bank of America,Florida,Fleming Island,United States,SC 13D,https://www.sec.gov/Archives/edgar/data/51734/0000950172-95-000111.txt
216.173.49.000,Broadview Networks Inc.,New York,Glen Head,United States,,https://www.sec.gov/Archives/edgar/data/1142126/0000950130-02-003698.txt
64.12.97.000,AOL Inc.,,,United States,SC 13G/A,https://www.sec.gov/Archives/edgar/data/100517/0000888002-94-000090.txt
64.12.96.000,AOL Inc.,,,United States,11-K,https://www.sec.gov/Archives/edgar/data/100517/0000100517-95-000040.txt
64.12.97.000,AOL Inc.,,,United States,11-K,https://www.sec.gov/Archives/edgar/data/100517/0000100517-95-000039.txt
24.199.74.000,Earthlink Inc.,New York,Sunnyside,United States,10-K,https://www.sec.gov/Archives/edgar/data/737758/0000912057-94-003585.txt
200.211.193.000,Claro S.A.,Sao Paulo,Sao Paulo,Brazil,10-Q,https://www.sec.gov/Archives/edgar/data/787250/0000787250-95-000007.txt
198.68.57.000,Omni Colonnade Hotel,Florida,Miami,United States,SC 13G/A,https://www.sec.gov/Archives/edgar/data/850693/0000912057-94-000297.txt
210.3.26.000,Hutchison Global Communications,,Tuen Mun,Hong Kong,10-K,https://www.sec.gov/Archives/edgar/data/354964/0000950124-94-000625.txt
