IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
167.219.0.000,Deloitte Services LP,,,United States,11-K,https://www.sec.gov/Archives/edgar/data/915912/0000950133-99-001128.txt
167.219.0.000,Deloitte Services LP,,,United States,11-K,https://www.sec.gov/Archives/edgar/data/5907/0001035704-00-000469.txt
167.219.0.000,Deloitte Services LP,,,United States,DEF 14A,https://www.sec.gov/Archives/edgar/data/4281/0000930661-02-000609.txt
12.38.196.000,AT&T Services Inc.,New York,New York,United States,11-K,https://www.sec.gov/Archives/edgar/data/909832/0000912057-00-029790.txt
