IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
67.73.50.000,Level 3 Communications Inc.,,,United States,4/A,https://www.sec.gov/Archives/edgar/data/1141982/0001049148-03-000008.txt
67.4.154.000,Qwest Communications Company LLC,Minnesota,Circle Pines,United States,4,https://www.sec.gov/Archives/edgar/data/1027117/0001005477-03-001292.txt
207.31.249.000,NTT America Inc.,Massachusetts,Boston,United States,PRE 14A,https://www.sec.gov/Archives/edgar/data/949512/0001047469-03-018926.txt
66.68.29.000,Time Warner Cable Internet LLC,Texas,Austin,United States,8-K,https://www.sec.gov/Archives/edgar/data/353482/0000950144-02-012125.txt
208.181.28.000,On Call Internet Services Inc.-KMLPBC,,,Canada,10QSB,https://www.sec.gov/Archives/edgar/data/1158387/0001137171-03-000150.txt
61.149.68.000,China Unicom Beijing Province Network,Beijing,Beijing,China,S-8,https://www.sec.gov/Archives/edgar/data/68505/0001047469-03-017678.txt
69.21.240.000,TDS Telecom,,,United States,10QSB/A,https://www.sec.gov/Archives/edgar/data/743758/0001065949-03-000036.txt
69.21.240.000,TDS Telecom,,,United States,8-K12G3,https://www.sec.gov/Archives/edgar/data/743758/0001072588-03-000205.txt
208.181.28.000,On Call Internet Services Inc.-KMLPBC,,,Canada,10-Q,https://www.sec.gov/Archives/edgar/data/789019/0001032210-03-000809.txt
203.59.159.000,iiNET Limited,Western Australia,Armadale,Australia,DEF 14A,https://www.sec.gov/Archives/edgar/data/62741/0000950131-03-001279.txt
129.210.12.000,Santa Clara University,California,Santa Clara,United States,10-K,https://www.sec.gov/Archives/edgar/data/874016/0000874016-03-000021.txt
61.149.68.000,China Unicom Beijing Province Network,Beijing,Beijing,China,10-K/A,https://www.sec.gov/Archives/edgar/data/68505/0001047469-03-013847.txt
69.21.240.000,TDS Telecom,,,United States,SC 13D,https://www.sec.gov/Archives/edgar/data/1161764/0001072588-02-000034.txt
63.240.211.000,AT&T Internal Projects (Econtact) Voice Tone-Sid,,,United States,10-Q,https://www.sec.gov/Archives/edgar/data/895730/0000895730-03-000002.txt
69.21.240.000,TDS Telecom,,,United States,REGDEX,https://www.sec.gov/Archives/edgar/data/1161764/9999999997-03-019821.txt
61.149.68.000,China Unicom Beijing Province Network,Beijing,Beijing,China,DEFA14A,https://www.sec.gov/Archives/edgar/data/68505/0001047469-03-010635.txt
128.122.184.000,New York University,New York,New York,United States,10KSB,https://www.sec.gov/Archives/edgar/data/855585/0001010924-97-000034.txt
203.59.159.000,iiNET Limited,Western Australia,Armadale,Australia,PRE 14A,https://www.sec.gov/Archives/edgar/data/62741/0000950131-03-000709.txt
67.3.12.000,Qwest Communications Company LLC,Minnesota,Esko,United States,10-K,https://www.sec.gov/Archives/edgar/data/1086467/0001032210-03-000500.txt
67.24.254.000,Level 3 Communications Inc.,,,United States,POS AM,https://www.sec.gov/Archives/edgar/data/1014955/0000950135-96-003167.txt
66.76.245.000,Suddenlink Communications,Oklahoma,Stillwater,United States,4,https://www.sec.gov/Archives/edgar/data/23217/0000023217-03-000016.txt
66.76.245.000,Suddenlink Communications,Oklahoma,Stillwater,United States,10-Q,https://www.sec.gov/Archives/edgar/data/23217/0001104659-03-006006.txt
67.0.49.000,Qwest Communications Company LLC,New Mexico,Rio Rancho,United States,13F-HR,https://www.sec.gov/Archives/edgar/data/315066/0000315066-03-002321.txt
152.163.253.000,AOL Inc.,,,United States,8-K,https://www.sec.gov/Archives/edgar/data/1023745/0000913355-01-500047.txt
152.163.252.000,AOL Inc.,,,United States,8-K,https://www.sec.gov/Archives/edgar/data/1023745/0000913355-01-500047.txt
66.87.224.000,Sprint Communications Inc.,,,United States,10QSB,https://www.sec.gov/Archives/edgar/data/1009830/0001012118-98-000107.txt
66.87.224.000,Sprint Communications Inc.,,,United States,8-K,https://www.sec.gov/Archives/edgar/data/1009830/0001012118-98-000131.txt
80.200.175.000,Proximus NV,Liege,Liège,Belgium,10-K,https://www.sec.gov/Archives/edgar/data/200406/0000950123-03-002936.txt
61.62.23.000,Sony Network Taiwan Limited,T'ai-pei,Taipei,Taiwan,10-Q,https://www.sec.gov/Archives/edgar/data/21344/0000021344-03-000055.txt
61.50.22.000,China Unicom Beijing Province Network,Beijing,Beijing,China,4,https://www.sec.gov/Archives/edgar/data/902277/0001183401-03-000011.txt
61.50.22.000,China Unicom Beijing Province Network,Beijing,Beijing,China,10-Q,https://www.sec.gov/Archives/edgar/data/902277/0000902277-03-000006.txt
218.230.149.000,Open Computer Network,,,Japan,10-Q,https://www.sec.gov/Archives/edgar/data/37996/0000037996-03-000024.txt
67.201.148.000,Xplornet Communications Inc.,,,Canada,8-K,https://www.sec.gov/Archives/edgar/data/353482/0000950144-02-012125.txt
68.9.91.000,Cox Communications,Connecticut,Granby,United States,8-K,https://www.sec.gov/Archives/edgar/data/919943/0000950172-02-000789.txt
208.188.81.000,AT&T Internet Services,Texas,Montgomery,United States,8-K,https://www.sec.gov/Archives/edgar/data/1024095/0001093094-02-000021.txt
216.229.84.000,Fidelity Communication International Inc.,Missouri,New Haven,United States,15-15D,https://www.sec.gov/Archives/edgar/data/922404/0001068800-03-000342.txt
208.188.81.000,AT&T Internet Services,Texas,Montgomery,United States,10QSB,https://www.sec.gov/Archives/edgar/data/1024095/0000899243-99-001077.txt
66.87.224.000,Sprint Communications Inc.,,,United States,10QSB,https://www.sec.gov/Archives/edgar/data/847470/0000910662-98-000058.txt
192.152.100.000,Fifth Third Bank,,,United States,SC 13G/A,https://www.sec.gov/Archives/edgar/data/20286/0000950152-99-000991.txt
192.152.100.000,Fifth Third Bank,,,United States,SC 13G,https://www.sec.gov/Archives/edgar/data/20286/0000950152-98-001183.txt
192.152.100.000,Fifth Third Bank,,,United States,SC 13G,https://www.sec.gov/Archives/edgar/data/20286/0000950152-94-000305.txt
192.152.100.000,Fifth Third Bank,,,United States,S-8,https://www.sec.gov/Archives/edgar/data/906318/0000035527-94-000017.txt
192.152.100.000,Fifth Third Bank,,,United States,S-4,https://www.sec.gov/Archives/edgar/data/906318/0000906318-94-000004.txt
192.152.100.000,Fifth Third Bank,,,United States,S-4,https://www.sec.gov/Archives/edgar/data/906318/0000906318-94-000003.txt
208.188.81.000,AT&T Internet Services,Texas,Montgomery,United States,8-K,https://www.sec.gov/Archives/edgar/data/1024095/0001093094-02-000047.txt
192.152.100.000,Fifth Third Bank,,,United States,SC 13G,https://www.sec.gov/Archives/edgar/data/277509/0000950152-98-001235.txt
192.152.100.000,Fifth Third Bank,,,United States,SC 13G,https://www.sec.gov/Archives/edgar/data/277509/0000950152-96-000462.txt
68.98.42.000,Cox Communications,Arizona,Tucson,United States,10-Q,https://www.sec.gov/Archives/edgar/data/715073/0000912057-95-005392.txt
68.98.42.000,Cox Communications,Arizona,Tucson,United States,S-3/A,https://www.sec.gov/Archives/edgar/data/715073/0000912057-95-011129.txt
68.98.42.000,Cox Communications,Arizona,Tucson,United States,424B3,https://www.sec.gov/Archives/edgar/data/715073/0000912057-96-000660.txt
128.122.184.000,New York University,New York,New York,United States,10-Q/A,https://www.sec.gov/Archives/edgar/data/791164/0000950124-97-001736.txt
