IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,8-K,https://www.sec.gov/Archives/edgar/data/1063262/0001104540-02-000064.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,8-A12G,https://www.sec.gov/Archives/edgar/data/1075954/0001065407-99-000151.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,S-3/A,https://www.sec.gov/Archives/edgar/data/1071728/0000950168-02-002477.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,S-3/A,https://www.sec.gov/Archives/edgar/data/1071728/0000950168-02-002477.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,S-3/A,https://www.sec.gov/Archives/edgar/data/1171039/0000950168-02-002477.txt
