IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,10-K,https://www.sec.gov/Archives/edgar/data/840302/0000891618-02-004927.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,10-K,https://www.sec.gov/Archives/edgar/data/840302/0000891618-02-004927.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,10-K,https://www.sec.gov/Archives/edgar/data/840302/0000891618-02-004927.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,424B3,https://www.sec.gov/Archives/edgar/data/840302/0001047469-98-034509.txt
12.40.163.000,Hampton Inn College Park - Wascl,Maryland,College Park,United States,S-4,https://www.sec.gov/Archives/edgar/data/840302/0001047469-98-022330.txt
206.181.243.000,Verizon Communications Inc.,,,United States,4,https://www.sec.gov/Archives/edgar/data/1044541/0000874691-03-000007.txt
