IP Address,Organization,Region,City,Country,SEC Form Type,SEC Form URL
65.172.225.000,Sprint Communications Inc.,,,United States,4,https://www.sec.gov/Archives/edgar/data/62996/0000062996-03-000017.txt
68.4.206.000,Cox Communications,California,Rancho Santa Margarita,United States,SC 14D1/A,https://www.sec.gov/Archives/edgar/data/1087752/0000950123-99-005376.txt
65.172.225.000,Sprint Communications Inc.,,,United States,4,https://www.sec.gov/Archives/edgar/data/62996/0000062996-03-000016.txt
65.172.225.000,Sprint Communications Inc.,,,United States,4,https://www.sec.gov/Archives/edgar/data/62996/0000062996-03-000015.txt
65.172.225.000,Sprint Communications Inc.,,,United States,4,https://www.sec.gov/Archives/edgar/data/62996/0000062996-03-000014.txt
65.172.225.000,Sprint Communications Inc.,,,United States,4,https://www.sec.gov/Archives/edgar/data/62996/0000062996-03-000013.txt
65.172.225.000,Sprint Communications Inc.,,,United States,4,https://www.sec.gov/Archives/edgar/data/62996/0000062996-03-000012.txt
67.201.152.000,Xplornet Communications Inc.,,,Canada,8-K/A,https://www.sec.gov/Archives/edgar/data/1016572/0000898430-98-000411.txt
63.198.247.000,Getacard.com,California,Van Nuys,United States,S-1,https://www.sec.gov/Archives/edgar/data/1236038/0000891618-03-003020.txt
211.162.61.000,Beijing Guoxin Bilin Telecom Technology Co. Ltd,Beijing,,China,20-F,https://www.sec.gov/Archives/edgar/data/1110646/9999999997-02-037373.txt
172.167.173.000,AOL Inc.,,,United States,11-K,https://www.sec.gov/Archives/edgar/data/86144/0000950149-03-001606.txt
67.201.152.000,Xplornet Communications Inc.,,,Canada,10-Q,https://www.sec.gov/Archives/edgar/data/1016572/0000898430-98-001536.txt
172.152.16.000,AOL Inc.,,,France,10-K,https://www.sec.gov/Archives/edgar/data/1113256/0000950123-02-011934.txt
154.11.248.000,Telus Communications Inc.,Alberta,Airdrie,Canada,20-F,https://www.sec.gov/Archives/edgar/data/313838/0000950109-02-003508.txt
172.167.173.000,AOL Inc.,,,United States,4,https://www.sec.gov/Archives/edgar/data/86144/0001204543-03-000001.txt
172.167.173.000,AOL Inc.,,,United States,11-K,https://www.sec.gov/Archives/edgar/data/86144/0000950149-03-001602.txt
172.167.173.000,AOL Inc.,,,United States,11-K,https://www.sec.gov/Archives/edgar/data/86144/0000950149-03-001605.txt
